,mois_installation,an_installation,nb_panneaux,panneaux_marque,panneaux_modele,nb_onduleur,onduleur_marque,onduleur_modele,puissance_crete,surface,pente,pente_optimum,orientation,orientation_optimum,installateur,lat,lon,country,administrative_area_level_1,Prix_p,Prix_o,Prix_total1,Prix_total
31,6,2022,8,TRINA SOLAR,VERTEX S - DE09.08 Fond blanc / 400 W,8,Enphase Energy,IQ 7+,3200,16,15,38.0,40,0.0,Lui m&amp;ecirc;me,44.23,1.06,France,Occitanie,207.1,184.81,3135.2799999999997,391.90999999999997
32,6,2022,41,Bourgeoisglobal,BGPV 300 BK,20,Bourgeoisglobal,MOBg-500-600-EU,12300,52,15,36.0,10,4.0,Synergys,43.36,2.29,France,Occitanie,425.0,200.0,21425.0,625.0
33,7,2022,8,Bourgeoisglobal,BGPV 300 BK,4,Bourgeoisglobal,MOBg-500-600-EU,2400,15,30,37.0,-45,1.0,de freitas,43.63,1.46,France,Occitanie,425.0,200.0,4200.0,625.0
34,7,2022,16,Bourgeoisglobal,BGPV 300 BK,3,Bourgeoisglobal,MOBg-500-600-EU,4800,29,25,38.0,10,0.0,IMEX,45.48,-0.1,France,Nouvelle-Aquitaine,425.0,200.0,7400.0,625.0
35,7,2022,4,Bourgeoisglobal,BGPV 300 BK,1,Bourgeoisglobal,MOBg-500-600-EU,1200,7,30,38.0,40,1.0,Dynamis,43.66,4.02,France,Occitanie,425.0,200.0,1900.0,625.0
36,6,2022,16,DUALSUN,DS 375W,16,Enphase Energy,IQ 7,6000,30,35,38.0,45,1.0,AJCONFORT Saint Aunes 34130,43.48,3.79,France,Occitanie,226.8,155.0,6108.8,381.8
37,6,2021,10,Bourgeoisglobal,BGPV 300 BK,10,Bourgeoisglobal,MOBg-500-600-EU,3000,17,35,37.0,-90,6.0,QARA  Energie solaire,44.7,-1.03,France,Nouvelle-Aquitaine,425.0,200.0,6250.0,625.0
38,10,2022,8,Bourgeoisglobal,BGPV 300 BK,4,Bourgeoisglobal,MOBg-500-600-EU,2400,14,20,39.0,10,-1.0,JL TECHNOLOGIE,43.82,4.26,France,Occitanie,425.0,200.0,4200.0,625.0
39,9,2022,8,DUALSUN,DS 375W,8,Enphase Energy,IQ 7+,3000,16,15,37.0,-30,2.0,Moi,44.65,-0.59,France,Nouvelle-Aquitaine,226.8,184.81,3292.88,411.61
40,9,2022,8,DUALSUN,DS 375W,8,Enphase Energy,IQ 7,3000,14,40,38.0,35,-5.0,NouvelR,43.15,-0.13,France,Nouvelle-Aquitaine,226.8,155.0,3054.4,381.8
41,6,2021,14,Bourgeoisglobal,BGPV 300 BK,7,Bourgeoisglobal,MOBg-500-600-EU,4200,24,10,37.0,-45,0.0,Ma maison verte ,44.76,1.04,France,Nouvelle-Aquitaine,425.0,200.0,7350.0,625.0
42,9,2022,16,DUALSUN,DS 375W,4,Enphase Energy,IQ 7+,6000,30,30,38.0,-75,0.0,Allairedutemps - 17000 La Rochelle,46.75,-0.7,France,Nouvelle-Aquitaine,226.8,184.81,4368.04,411.61
