,Région,Rayonnement solaire global (W/m2),Année,Heure,Saison,Energie (W.h-1.m2-1),mois,an,Tarif ≤ 9 kWc,Tarif ≤ 3 kWc
47,Nouvelle-Aquitaine,0.0,2020-01-06,06:00:00,Hiver,0.0,1,2020,15.75,18.53
48,Nouvelle-Aquitaine,28.17,2020-01-07,18:00:00,Hiver,1.5650000000000002,1,2020,15.75,18.53
49,Nouvelle-Aquitaine,0.0,2020-01-07,06:00:00,Hiver,0.0,1,2020,15.75,18.53
50,Nouvelle-Aquitaine,113.9,2020-01-07,12:00:00,Hiver,9.491666666666667,1,2020,15.75,18.53
51,Nouvelle-Aquitaine,142.41,2020-01-07,15:00:00,Hiver,9.494,1,2020,15.75,18.53
52,Nouvelle-Aquitaine,0.0,2020-01-07,21:00:00,Hiver,0.0,1,2020,15.75,18.53
53,Nouvelle-Aquitaine,14.75,2020-01-07,09:00:00,Hiver,1.6388888888888888,1,2020,15.75,18.53
54,Nouvelle-Aquitaine,0.0,2020-01-07,03:00:00,Hiver,0.0,1,2020,15.75,18.53
55,Nouvelle-Aquitaine,0.0,2020-01-07,00:00:00,Hiver,0.0,1,2020,15.75,18.53
56,Nouvelle-Aquitaine,0.0,2020-01-08,06:00:00,Hiver,0.0,1,2020,15.75,18.53
57,Nouvelle-Aquitaine,0.0,2020-01-08,00:00:00,Hiver,0.0,1,2020,15.75,18.53
58,Nouvelle-Aquitaine,144.03,2020-01-08,12:00:00,Hiver,12.0025,1,2020,15.75,18.53
59,Nouvelle-Aquitaine,151.26,2020-01-08,15:00:00,Hiver,10.084,1,2020,15.75,18.53
60,Nouvelle-Aquitaine,32.78,2020-01-08,09:00:00,Hiver,3.6422222222222222,1,2020,15.75,18.53
61,Nouvelle-Aquitaine,41.07,2020-01-08,18:00:00,Hiver,2.2816666666666667,1,2020,15.75,18.53
62,Nouvelle-Aquitaine,0.0,2020-01-08,21:00:00,Hiver,0.0,1,2020,15.75,18.53
63,Nouvelle-Aquitaine,0.0,2020-01-08,03:00:00,Hiver,0.0,1,2020,15.75,18.53
64,Nouvelle-Aquitaine,68.19,2020-01-09,18:00:00,Hiver,3.788333333333333,1,2020,15.75,18.53
65,Nouvelle-Aquitaine,0.0,2020-01-09,21:00:00,Hiver,0.0,1,2020,15.75,18.53
66,Nouvelle-Aquitaine,52.63,2020-01-09,09:00:00,Hiver,5.847777777777778,1,2020,15.75,18.53
67,Nouvelle-Aquitaine,0.0,2020-01-09,00:00:00,Hiver,0.0,1,2020,15.75,18.53
68,Nouvelle-Aquitaine,0.0,2020-01-09,03:00:00,Hiver,0.0,1,2020,15.75,18.53
69,Nouvelle-Aquitaine,190.29,2020-01-09,12:00:00,Hiver,15.8575,1,2020,15.75,18.53
70,Nouvelle-Aquitaine,218.52,2020-01-09,15:00:00,Hiver,14.568000000000001,1,2020,15.75,18.53
71,Nouvelle-Aquitaine,0.0,2020-01-09,06:00:00,Hiver,0.0,1,2020,15.75,18.53
72,Nouvelle-Aquitaine,147.45,2020-01-10,12:00:00,Hiver,12.2875,1,2020,15.75,18.53
73,Nouvelle-Aquitaine,54.4,2020-01-10,18:00:00,Hiver,3.022222222222222,1,2020,15.75,18.53
74,Nouvelle-Aquitaine,160.67,2020-01-10,15:00:00,Hiver,10.711333333333332,1,2020,15.75,18.53
75,Nouvelle-Aquitaine,6.35,2020-01-10,21:00:00,Hiver,0.30238095238095236,1,2020,15.75,18.53
76,Nouvelle-Aquitaine,44.83,2020-01-10,09:00:00,Hiver,4.981111111111111,1,2020,15.75,18.53
77,Nouvelle-Aquitaine,0.0,2020-01-10,06:00:00,Hiver,0.0,1,2020,15.75,18.53
78,Nouvelle-Aquitaine,0.0,2020-01-10,03:00:00,Hiver,0.0,1,2020,15.75,18.53
79,Nouvelle-Aquitaine,0.0,2020-01-10,00:00:00,Hiver,0.0,1,2020,15.75,18.53
80,Nouvelle-Aquitaine,6.35,2020-01-11,00:00:00,Hiver,0.0,1,2020,15.75,18.53
81,Nouvelle-Aquitaine,81.14,2020-01-11,18:00:00,Hiver,4.507777777777778,1,2020,15.75,18.53
82,Nouvelle-Aquitaine,0.0,2020-01-11,03:00:00,Hiver,0.0,1,2020,15.75,18.53
83,Nouvelle-Aquitaine,0.0,2020-01-11,06:00:00,Hiver,0.0,1,2020,15.75,18.53
84,Nouvelle-Aquitaine,70.53,2020-01-11,09:00:00,Hiver,7.836666666666667,1,2020,15.75,18.53
85,Nouvelle-Aquitaine,239.28,2020-01-11,15:00:00,Hiver,15.952,1,2020,15.75,18.53
86,Nouvelle-Aquitaine,220.49,2020-01-11,12:00:00,Hiver,18.374166666666667,1,2020,15.75,18.53
87,Nouvelle-Aquitaine,8.46,2020-01-11,21:00:00,Hiver,0.4028571428571429,1,2020,15.75,18.53
88,Nouvelle-Aquitaine,8.46,2020-01-12,00:00:00,Hiver,0.0,1,2020,15.75,18.53
89,Nouvelle-Aquitaine,211.46,2020-01-12,12:00:00,Hiver,17.621666666666666,1,2020,15.75,18.53
90,Nouvelle-Aquitaine,0.0,2020-01-12,06:00:00,Hiver,0.0,1,2020,15.75,18.53
91,Nouvelle-Aquitaine,8.2,2020-01-12,21:00:00,Hiver,0.3904761904761904,1,2020,15.75,18.53
92,Nouvelle-Aquitaine,0.0,2020-01-12,03:00:00,Hiver,0.0,1,2020,15.75,18.53
93,Nouvelle-Aquitaine,209.21,2020-01-12,15:00:00,Hiver,13.947333333333335,1,2020,15.75,18.53
94,Nouvelle-Aquitaine,66.72,2020-01-12,18:00:00,Hiver,3.7066666666666666,1,2020,15.75,18.53
95,Nouvelle-Aquitaine,67.99,2020-01-12,09:00:00,Hiver,7.554444444444444,1,2020,15.75,18.53
96,Nouvelle-Aquitaine,0.0,2020-01-13,06:00:00,Hiver,0.0,1,2020,15.75,18.53
97,Nouvelle-Aquitaine,186.62,2020-01-13,12:00:00,Hiver,15.551666666666668,1,2020,15.75,18.53
98,Nouvelle-Aquitaine,83.08,2020-01-13,18:00:00,Hiver,4.615555555555556,1,2020,15.75,18.53
99,Nouvelle-Aquitaine,8.2,2020-01-13,00:00:00,Hiver,0.0,1,2020,15.75,18.53
100,Nouvelle-Aquitaine,8.22,2020-01-13,21:00:00,Hiver,0.39142857142857146,1,2020,15.75,18.53
101,Nouvelle-Aquitaine,215.95,2020-01-13,15:00:00,Hiver,14.396666666666667,1,2020,15.75,18.53
102,Nouvelle-Aquitaine,0.0,2020-01-13,03:00:00,Hiver,0.0,1,2020,15.75,18.53
103,Nouvelle-Aquitaine,66.23,2020-01-13,09:00:00,Hiver,7.358888888888889,1,2020,15.75,18.53
104,Nouvelle-Aquitaine,57.26,2020-01-14,09:00:00,Hiver,6.362222222222222,1,2020,15.75,18.53
105,Nouvelle-Aquitaine,4.14,2020-01-14,21:00:00,Hiver,0.19714285714285712,1,2020,15.75,18.53
106,Nouvelle-Aquitaine,0.0,2020-01-14,06:00:00,Hiver,0.0,1,2020,15.75,18.53
107,Nouvelle-Aquitaine,185.97,2020-01-14,12:00:00,Hiver,15.4975,1,2020,15.75,18.53
108,Nouvelle-Aquitaine,8.22,2020-01-14,00:00:00,Hiver,0.0,1,2020,15.75,18.53
109,Nouvelle-Aquitaine,66.32,2020-01-14,18:00:00,Hiver,3.684444444444444,1,2020,15.75,18.53
110,Nouvelle-Aquitaine,204.69,2020-01-14,15:00:00,Hiver,13.645999999999999,1,2020,15.75,18.53
111,Nouvelle-Aquitaine,0.0,2020-01-14,03:00:00,Hiver,0.0,1,2020,15.75,18.53
112,Nouvelle-Aquitaine,0.0,2020-01-15,06:00:00,Hiver,0.0,1,2020,15.75,18.53
113,Nouvelle-Aquitaine,9.11,2020-01-15,21:00:00,Hiver,0.43380952380952376,1,2020,15.75,18.53
114,Nouvelle-Aquitaine,210.19,2020-01-15,12:00:00,Hiver,17.515833333333333,1,2020,15.75,18.53
115,Nouvelle-Aquitaine,4.14,2020-01-15,00:00:00,Hiver,0.0,1,2020,15.75,18.53
116,Nouvelle-Aquitaine,69.08,2020-01-15,18:00:00,Hiver,3.8377777777777777,1,2020,15.75,18.53
117,Nouvelle-Aquitaine,76.79,2020-01-15,09:00:00,Hiver,8.532222222222224,1,2020,15.75,18.53
118,Nouvelle-Aquitaine,176.34,2020-01-15,15:00:00,Hiver,11.756,1,2020,15.75,18.53
119,Nouvelle-Aquitaine,0.0,2020-01-15,03:00:00,Hiver,0.0,1,2020,15.75,18.53
120,Nouvelle-Aquitaine,81.78,2020-01-16,09:00:00,Hiver,9.086666666666666,1,2020,15.75,18.53
121,Nouvelle-Aquitaine,9.18,2020-01-16,21:00:00,Hiver,0.4371428571428571,1,2020,15.75,18.53
122,Nouvelle-Aquitaine,89.85,2020-01-16,18:00:00,Hiver,4.991666666666666,1,2020,15.75,18.53
